freq [Hz],power [dBm]
100000.0,-30.5608342
418465306.122449,-30.7661505
836830612.244898,-30.6178438
1255195918.367347,-30.8019613
1673561224.489796,-31.1612093
2091926530.6122448,-31.0445328
2510291836.734694,-31.3181355
2928657142.857143,-31.7530057
3347022448.979592,-30.5493762
3765387755.102041,-31.2753908
4183753061.2244897,-30.7479769
4602118367.346939,-30.7244951
5020483673.469388,-31.5316755
5438848979.591837,-30.4417689
5857214285.714286,-27.2181474
6275579591.836735,-25.1194718
6693944897.959184,-25.2303685
7112310204.081633,-26.4938156
7530675510.204082,-28.3076052
7949040816.32653,-31.5479746
8367406122.448979,-31.2279114
8785771428.571428,-31.904908
9204136734.693878,-32.1261235
9622502040.816326,-31.6380775
10040867346.938776,-31.9577046
10459232653.061224,-31.409267
10877597959.183674,-31.8325398
11295963265.306122,-31.0439769
11714328571.428572,-31.5370055
12132693877.55102,-31.0885652
12551059183.67347,-32.0511856
12969424489.795918,-30.5662978
13387789795.918367,-31.2251742
13806155102.040817,-31.996949
14224520408.163265,-30.1433722
14642885714.285715,-32.20076
15061251020.408163,-32.0668787
15479616326.530613,-30.1027012
15897981632.65306,-31.7692465
16316346938.77551,-31.6908116
16734712244.897959,-30.4437854
17153077551.020409,-31.8479605
17571442857.142857,-33.8421371
17989808163.265305,-32.866795
18408173469.387756,-33.8706459
18826538775.510204,-31.7405292
19244904081.632652,-33.4617463
19663269387.7551,-32.7944686
20081634693.877552,-32.9843066
20500000000.0,-32.9968343
