freq [Hz];power [dBm]
9000;0.876796923
126539428.6;1.02056182
253069857.1;1.04294342
379600285.7;0.783174161
506130714.3;1.08145429
632661142.9;0.744884398
759191571.4;0.928193809
885722000;0.912878193
1012252429;0.583013704
1138782857;0.745266199
1265313286;0.701304694
1391843714;0.616634548
1518374143;0.653614309
1644904571;0.50061497
1771435000;0.641203525
1897965429;0.481222414
2024495857;0.371775903
2151026286;0.457839373
2277556714;0.290975782
2404087143;0.165165096
2530617571;0.448305558
2657148000;0.255285439
2783678429;0.064170196
2910208857;0.285751277
3036739286;0.450321746
3163269714;0.209627223
3289800143;0.14766545
3416330571;0.640844963
3542861000;0.30380054
3669391429;0.110500695
3795921857;0.392431156
3922452286;-0.220882174
4048982714;0.108135812
4175513143;0.123271244
4302043571;-0.100690246
4428574000;0.146886907
4555104429;-0.026413237
4681634857;0.050127523
4808165286;0.030236147
4934695714;-0.081512061
5061226143;0.192853916
5187756571;0.101116533
5314287000;0.123658479
5440817429;0.103385146
5567347857;-0.104368762
5693878286;-0.047832765
5820408714;-0.098798365
5946939143;-0.093844167
6073469571;-0.285797528
6200000000;-0.333934321
